Contiguous U.S., Palmer Hydrological Drought Index (PHDI)
Missing: -99
Date,Value
201001,4.65
201002,4.30
201003,3.42
201004,2.73
201005,2.90
201006,3.03
201007,3.48
201008,3.12
201009,2.96
201010,2.36
201011,1.97
201012,1.72
201101,1.06
201102,1.02
201103,1.16
201104,1.85
201105,2.32
201106,1.70
201107,1.05
201108,-1.53
201109,-1.58
201110,-1.54
201111,-1.57
201112,-1.89
201201,-2.31
201202,-2.38
201203,-2.72
201204,-3.11
201205,-3.57
201206,-4.12
201207,-4.79
201208,-5.11
201209,-4.99
201210,-4.43
201211,-5.23
201212,-5.27
201301,-5.31
201302,-4.90
201303,-5.18
201304,-4.07
201305,-3.29
201306,-2.66
201307,-1.63
201308,-1.32
201309,-0.86
201310,-0.57
201311,-0.58
201312,1.43
201401,0.72
201402,1.00
201403,0.81
201404,1.06
201405,0.75
201406,1.33
201407,1.27
201408,1.79
201409,1.67
201410,1.53
201411,1.44
201412,1.42
201501,1.12
201502,0.85
201503,-1.06
201504,-0.85
201505,1.47
201506,1.70
201507,2.23
201508,1.99
201509,1.09
201510,1.38
201511,2.09
201512,3.50
201601,3.60
201602,2.92
201603,2.41
201604,2.43
201605,2.34
201606,1.40
201607,1.06
201608,1.60
201609,1.44
201610,1.19
201611,-1.18
201612,-1.40
201701,-0.91
201702,-0.92
201703,-1.23
201704,0.67
201705,1.00
201706,0.94
201707,0.89
201708,1.69
201709,1.21
201710,1.38
201711,-0.72
201712,-1.54
201801,-2.30
201802,-1.67
201803,-1.68
201804,-1.27
201805,-1.72
201806,-1.64
201807,-1.80
201808,-1.55
201809,-0.64
201810,1.92
201811,2.56
201812,3.68
201901,4.17
