Contiguous U.S., Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
201001,4.65
201002,4.30
201003,2.86
201004,1.73
201005,2.38
201006,2.92
201007,3.48
201008,3.06
201009,2.96
201010,1.92
201011,1.30
201012,0.95
201101,-0.28
201102,-0.20
201103,0.21
201104,1.61
201105,2.32
201106,1.13
201107,-0.18
201108,-1.53
201109,-1.58
201110,-1.54
201111,-1.57
201112,-1.89
201201,-2.31
201202,-2.38
201203,-2.72
201204,-3.11
201205,-3.57
201206,-4.12
201207,-4.79
201208,-5.11
201209,-4.99
201210,-4.32
201211,-5.23
201212,-5.27
201301,-5.31
201302,-4.90
201303,-5.18
201304,-3.36
201305,-2.14
201306,-1.18
201307,0.62
201308,0.96
201309,1.57
201310,1.83
201311,1.57
201312,1.43
201401,-0.29
201402,0.52
201403,0.17
201404,0.80
201405,0.10
201406,1.33
201407,1.27
201408,1.79
201409,1.67
201410,1.50
201411,1.43
201412,1.42
201501,0.79
201502,0.19
201503,-1.06
201504,-0.55
201505,1.47
201506,1.70
201507,2.23
201508,1.90
201509,0.02
201510,0.81
201511,2.09
201512,3.50
201601,3.60
201602,2.50
201603,1.70
201604,1.97
201605,2.02
201606,0.25
201607,-0.28
201608,0.94
201609,0.77
201610,0.40
201611,-1.18
201612,-1.40
201701,-0.26
201702,-0.38
201703,-1.23
201704,0.67
201705,1.00
201706,0.90
201707,0.85
201708,1.69
201709,0.68
201710,1.22
201711,-0.72
201712,-1.54
201801,-2.30
201802,-1.09
201803,-1.28
201804,-0.52
201805,-1.62
201806,-1.61
201807,-1.80
201808,-1.40
201809,0.67
201810,1.92
201811,2.56
201812,3.68
201901,4.17
