Contiguous U.S., Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,40.03
201002,41.16
201003,55.11
201004,66.15
201005,72.01
201006,82.58
201007,87.01
201008,86.83
201009,79.79
201010,69.44
201011,53.82
201012,42.03
201101,40.05
201102,44.42
201103,54.30
201104,64.20
201105,71.19
201106,82.71
201107,88.90
201108,88.36
201109,79.43
201110,67.80
201111,55.09
201112,45.52
201201,47.59
201202,48.07
201203,62.85
201204,67.64
201205,76.64
201206,84.20
201207,89.96
201208,87.39
201209,80.08
201210,66.07
201211,55.92
201212,45.82
201301,42.71
201302,45.46
201303,52.70
201304,62.06
201305,73.53
201306,82.99
201307,86.43
201308,85.39
201309,79.18
201310,65.32
201311,52.48
201312,41.52
201401,42.44
201402,43.02
201403,52.84
201404,64.56
201405,74.10
201406,81.81
201407,85.80
201408,84.22
201409,78.26
201410,69.39
201411,50.29
201412,45.34
201501,43.27
201502,44.40
201503,57.76
201504,65.84
201505,72.54
201506,83.64
201507,85.96
201508,85.77
201509,81.30
201510,69.10
201511,55.22
201512,48.06
201601,41.86
201602,50.81
201603,59.47
201604,65.57
201605,72.50
201606,84.92
201607,87.91
201608,85.80
201609,79.39
201610,69.89
201611,59.56
201612,42.64
201701,42.78
201702,52.14
201703,57.81
201704,65.88
201705,73.26
201706,83.25
201707,88.56
201708,84.27
201709,78.76
201710,68.45
201711,56.17
201712,44.83
201801,43.16
201802,46.65
201803,54.01
201804,61.84
201805,78.39
201806,84.16
201807,88.21
201808,85.95
201809,79.34
201810,64.38
201811,50.18
201812,44.76
201901,42.28
