Contiguous U.S., Palmer Z-Index
Missing: -99
Date,Value
201001,2.76
201002,0.37
201003,-1.31
201004,-1.02
201005,1.37
201006,1.28
201007,2.30
201008,-0.01
201009,0.49
201010,-0.90
201011,-0.44
201012,-0.14
201101,-1.44
201102,0.21
201103,0.72
201104,2.45
201105,1.96
201106,-1.14
201107,-1.43
201108,-2.38
201109,-0.62
201110,-0.37
201111,-0.58
201112,-1.43
201201,-1.84
201202,-0.93
201203,-1.77
201204,-1.99
201205,-2.35
201206,-2.75
201207,-3.30
201208,-2.43
201209,-1.23
201210,0.14
201211,-3.78
201212,-1.73
201301,-1.75
201302,-0.42
201303,-2.35
201304,1.75
201305,1.08
201306,0.86
201307,2.28
201308,0.43
201309,0.98
201310,0.59
201311,-0.21
201312,0.01
201401,-1.69
201402,1.05
201403,-0.24
201404,0.99
201405,-0.61
201406,1.98
201407,0.25
201408,1.93
201409,0.20
201410,0.09
201411,0.20
201412,0.37
201501,-0.45
201502,-0.47
201503,-2.39
201504,0.28
201505,4.14
201506,1.16
201507,2.12
201508,-0.05
201509,-2.07
201510,1.20
201511,2.54
201512,4.88
201601,1.38
201602,-0.92
201603,-0.62
201604,0.79
201605,0.49
201606,-2.09
201607,-0.58
201608,1.94
201609,0.02
201610,-0.32
201611,-3.07
201612,-1.02
201701,1.03
201702,-0.30
201703,-1.20
201704,2.01
201705,1.21
201706,0.10
201707,0.15
201708,2.68
201709,-0.92
201710,0.89
201711,-2.15
201712,-2.69
201801,-2.77
201802,1.18
201803,-0.54
201804,0.71
201805,-1.73
201806,-0.30
201807,-0.98
201808,0.18
201809,2.25
201810,3.60
201811,2.51
201812,4.15
201901,2.60
